# PA[deg]	RM[rad/m^2]
188.2034	4.6349
190.2082	1.5706
187.2827	-5.2258
182.9847	-16.3968
183.1036	-41.7066
202.5446	-2.6346
183.1517	3.1763
186.3225	-0.2854
189.7672	-2.8474
184.9592	3.3681
193.1544	6.0483
193.1465	15.2233
184.2188	-8.7800
185.5332	-3.4076
190.7439	0.0254
186.9601	-8.6744
184.7485	19.7578
182.2707	-58.0464
193.2415	2.8882
185.1118	-14.6905
197.8966	18.4223
197.8346	19.3398
281.5296	-78.3231
181.8632	-34.7923
183.1154	29.7417
179.8962	-7.5199
179.8645	-13.9265
183.6115	11.0780
193.9654	-14.0942
182.0973	7.3071
184.3036	-3.5601
188.7994	23.5466
183.0930	-16.0359
184.1383	-14.2618
189.3623	-11.2014
187.2365	27.1477
191.7242	-12.0772
183.2704	-9.2719
190.4858	-36.3691
190.4565	-22.4696
178.1012	-7.6614
178.0987	-6.1345
192.4363	-31.5809
185.3879	-8.0256
192.2716	-13.4583
178.6172	3.9060
190.1076	-26.0507
186.6765	-13.3922
177.3799	-9.6759
192.1889	-31.8715
186.6842	-10.2623
176.9924	-14.5763
185.8177	-10.5746
178.1786	-21.5582
193.8108	-40.6028
178.9473	-4.1284
190.7973	-34.7384
176.6264	-8.0272
178.8588	6.1833
186.1056	-20.8184
190.9071	-90.3842
179.3919	-13.3297
191.1494	-73.9895
177.4700	-16.1928
191.3325	-102.5701
180.3484	-9.5068
178.4168	-26.0778
185.9555	-21.8773
184.5474	-27.3280
185.7498	-42.7583
288.3197	29.4030
190.5300	-59.0695
288.3580	24.7058
187.9647	-23.6119
176.2707	63.5177
178.3274	-12.7955
189.3885	-97.3414
182.7133	-20.6643
178.0239	12.5305
189.6881	17.1344
179.6453	-16.6317
174.9550	-5.4796
180.8004	24.5508
181.5521	-14.4850
174.6984	-13.7551
178.7637	-4.7374
177.4812	-29.2298
176.0265	-1.0042
175.6446	14.5184
174.7370	-27.9071
187.3862	-186.6475
176.9948	-27.2582
176.9815	-7.7240
178.0909	13.9072
186.9737	16.0354
175.8649	-22.6767
183.2039	-0.2412
291.0780	17.9526
172.2168	48.1749
182.6799	-7.1094
175.5674	-12.0282
184.3653	-4.0038
172.7891	-6.8464
181.7669	-14.6890
181.7704	4.4532
184.8521	-2.0785
181.8594	-25.4712
177.9067	-8.2917
172.8139	17.3516
182.4561	-19.5035
183.3568	0.6403
176.8571	-21.7059
172.9518	-2.8251
181.1837	-1.5430
175.9215	-37.2415
176.8320	-19.6739
176.8437	-22.7864
174.2552	-20.1757
174.5512	-20.2117
178.6850	23.6872
174.3256	-23.9344
172.8716	19.5274
173.4845	-1.2888
178.3194	6.2762
174.0480	2.4580
170.5559	1.0156
177.2110	-6.5843
174.9019	0.2116
170.2250	52.9592
179.0978	-17.4108
178.7398	5.1619
178.7216	2.4791
172.8805	-35.0702
172.3185	-56.4045
173.0924	1.0605
177.6841	-9.0987
171.6253	-3.3244
171.4726	13.7718
178.0826	4.9486
170.3223	-0.6778
170.2907	9.2813
167.9558	-20.2854
176.8019	27.4448
175.5826	13.8340
168.6618	14.8293
175.2131	36.2992
169.2343	44.8588
171.5695	-10.9664
170.6536	2.6720
171.5884	20.4653
173.0245	-25.2081
170.0169	-3.7542
172.7251	5.6635
173.2361	-3.5618
170.1119	-5.3966
167.9207	1.6518
173.6582	-8.8046
174.9004	1.8817
173.7887	6.8401
296.7766	114.7016
169.3340	5.0950
297.1122	48.0677
172.1755	-3.4981
165.1341	16.8003
173.9987	-15.7212
173.2585	0.1929
173.7283	-19.2145
169.5738	36.6250
168.3532	4.3523
170.9732	3.3440
171.0364	-4.0761
172.0934	-17.2205
166.9885	-32.0599
168.4958	30.3789
171.6334	-0.8400
170.4006	51.4838
166.1741	-8.7933
166.6204	2.4652
164.3665	9.1934
167.9809	53.8114
167.9996	37.2164
164.3517	23.2865
162.7479	-4.9790
165.4088	36.7708
162.9944	-21.6472
163.4082	-15.4769
169.5000	8.0254
165.0621	-4.8166
163.7031	18.8160
162.6362	1.7878
166.7029	68.1187
167.3924	-0.2580
165.8688	54.4410
164.7959	-22.9722
162.8126	1.3242
161.2639	8.4178
162.0706	-6.8354
160.9064	2.5681
163.2668	-14.2462
165.3420	86.5362
166.0240	10.0603
162.6142	-2.9168
303.3196	-26.6113
160.8475	-8.5221
160.5088	-11.6996
163.5199	43.3337
163.4865	39.5336
159.6437	-8.7412
162.9355	-0.2638
161.6509	-12.7139
163.5414	-23.4582
305.6064	-2.2537
159.4854	0.8253
165.2052	2.2502
162.9219	51.1084
161.9371	-1.5578
164.8364	-1.9109
163.7191	78.1726
163.6916	76.6479
