# PA[deg]	RM[rad/m^2]
165.4088	36.7709
162.9944	-21.6475
163.4082	-15.4777
169.5000	8.0255
165.0621	-4.8166
163.7031	18.8157
162.6362	1.7873
166.7029	68.1174
167.3924	-0.2583
165.8688	54.4400
164.7959	-22.9722
162.8126	1.3238
161.2639	8.4177
162.0706	-6.8358
160.9064	2.5680
163.2668	-14.2461
165.3420	86.5353
166.0240	10.0602
162.6142	-2.9168
303.3196	-29.0079
160.8475	-8.5223
160.5088	-11.6997
163.5199	43.3335
163.4865	39.5335
159.6437	-8.7412
162.9355	-0.2638
161.6509	-12.7139
163.5414	-23.4584
305.6064	-2.2537
159.4854	0.8253
165.2052	2.2502
162.9219	51.1084
161.9371	-1.5578
164.8364	-1.9109
163.7191	78.1726
163.6916	76.6479
